Date,NASDQ_PX_LAST
6/24/2022,11607.62
6/23/2022,11232.19
6/22/2022,11053.08
6/21/2022,11069.3
6/17/2022,10798.35
6/16/2022,10646.1
6/15/2022,11099.15
6/14/2022,10828.35
6/13/2022,10809.23
6/10/2022,11340.02
6/9/2022,11754.23
6/8/2022,12086.27
6/7/2022,12175.23
6/6/2022,12061.37
6/3/2022,12012.73
6/2/2022,12316.9
6/1/2022,11994.46
5/31/2022,12081.39
5/27/2022,12131.13
5/26/2022,11740.65
5/25/2022,11434.74
5/24/2022,11264.45
5/23/2022,11535.27
5/20/2022,11354.62
5/19/2022,11388.5
5/18/2022,11418.15
5/17/2022,11984.52
5/16/2022,11662.79
5/13/2022,11805
5/12/2022,11370.96
5/11/2022,11364.24
5/10/2022,11737.67
5/9/2022,11623.25
5/6/2022,12144.66
5/5/2022,12317.69
5/4/2022,12964.86
5/3/2022,12563.76
5/2/2022,12536.02
4/29/2022,12334.64
4/28/2022,12871.53
4/27/2022,12488.93
4/26/2022,12490.74
4/25/2022,13004.85
4/22/2022,12839.29
4/21/2022,13174.65
4/20/2022,13453.07
4/19/2022,13619.66
4/18/2022,13332.36
4/14/2022,13351.08
4/13/2022,13643.59
4/12/2022,13371.57
4/11/2022,13411.96
4/8/2022,13711
4/7/2022,13897.3
4/6/2022,13888.82
4/5/2022,14204.17
4/4/2022,14532.55
4/1/2022,14261.5
3/31/2022,14220.52
3/30/2022,14442.27
3/29/2022,14619.64
3/28/2022,14354.9
3/25/2022,14169.3
3/24/2022,14191.84
3/23/2022,13922.6
3/22/2022,14108.82
3/21/2022,13838.46
3/18/2022,13893.84
3/17/2022,13614.78
3/16/2022,13436.55
3/15/2022,12948.62
3/14/2022,12581.22
3/11/2022,12843.81
3/10/2022,13129.96
3/9/2022,13255.55
3/8/2022,12795.55
3/7/2022,12830.96
3/4/2022,13313.44
3/3/2022,13537.94
3/2/2022,13752.02
3/1/2022,13532.46
2/28/2022,13751.4
2/25/2022,13694.62
2/24/2022,13473.58
2/23/2022,13037.49
2/22/2022,13381.52
2/18/2022,13548.07
2/17/2022,13716.72
2/16/2022,14124.09
2/15/2022,14139.76
2/14/2022,13790.92
2/11/2022,13791.15
2/10/2022,14185.64
2/9/2022,14490.37
2/8/2022,14194.46
2/7/2022,14015.67
2/4/2022,14098.01
2/3/2022,13878.82
2/2/2022,14417.55
2/1/2022,14346
1/31/2022,14239.88
1/28/2022,13770.57
1/27/2022,13352.78
1/26/2022,13542.12
1/25/2022,13539.29
1/24/2022,13855.13
1/21/2022,13768.92
1/20/2022,14154.02
1/19/2022,14340.25
1/18/2022,14506.9
1/14/2022,14893.75
1/13/2022,14806.81
1/12/2022,15188.39
1/11/2022,15153.45
1/10/2022,14942.83
1/7/2022,14935.9
1/6/2022,15080.87
1/5/2022,15100.17
1/4/2022,15622.72
1/3/2022,15832.8
12/31/2021,15644.97
12/30/2021,15741.56
12/29/2021,15766.22
12/28/2021,15781.72
12/27/2021,15871.26
12/23/2021,15653.37
12/22/2021,15521.89
12/21/2021,15341.09
12/20/2021,14980.94
12/17/2021,15169.68
12/16/2021,15180.43
12/15/2021,15565.58
12/14/2021,15237.64
12/13/2021,15413.28
12/10/2021,15630.6
12/9/2021,15517.37
12/8/2021,15786.99
12/7/2021,15686.92
12/6/2021,15225.15
12/3/2021,15085.47
12/2/2021,15381.32
12/1/2021,15254.05
11/30/2021,15537.69
11/29/2021,15782.83
11/26/2021,15491.66
11/24/2021,15845.23
11/23/2021,15775.14
11/22/2021,15854.76
11/19/2021,16057.44
11/18/2021,15993.71
11/17/2021,15921.57
11/16/2021,15973.86
11/15/2021,15853.85
11/12/2021,15860.96
11/11/2021,15704.28
11/10/2021,15622.71
11/9/2021,15886.54
11/8/2021,15982.36
11/5/2021,15971.59
11/4/2021,15940.31
11/3/2021,15811.58
11/2/2021,15649.6
11/1/2021,15595.92
10/29/2021,15498.39
10/28/2021,15448.12
10/27/2021,15235.84
10/26/2021,15235.71
10/25/2021,15226.71
10/22/2021,15090.2
10/21/2021,15215.7
10/20/2021,15121.68
10/19/2021,15129.09
10/18/2021,15021.81
10/15/2021,14897.34
10/14/2021,14823.43
10/13/2021,14571.63
10/12/2021,14465.92
10/11/2021,14486.2
10/8/2021,14579.54
10/7/2021,14654.02
10/6/2021,14501.91
10/5/2021,14433.83
10/4/2021,14255.48
10/1/2021,14566.7
9/30/2021,14448.58
9/29/2021,14512.44
9/28/2021,14546.68
9/27/2021,14969.97
9/24/2021,15047.7
9/23/2021,15052.24
9/22/2021,14896.85
9/21/2021,14746.4
9/20/2021,14713.9
9/17/2021,15043.97
9/16/2021,15181.92
9/15/2021,15161.53
9/14/2021,15037.76
9/13/2021,15105.58
9/10/2021,15115.49
9/9/2021,15248.25
9/8/2021,15286.64
9/7/2021,15374.33
9/3/2021,15363.52
9/2/2021,15331.18
9/1/2021,15309.38
8/31/2021,15259.24
8/30/2021,15265.89
8/27/2021,15129.5
8/26/2021,14945.81
8/25/2021,15041.86
8/24/2021,15019.8
8/23/2021,14942.65
8/20/2021,14714.66
8/19/2021,14541.79
8/18/2021,14525.91
8/17/2021,14656.18
8/16/2021,14793.76
8/13/2021,14822.9
8/12/2021,14816.26
8/11/2021,14765.13
8/10/2021,14788.09
8/9/2021,14860.18
8/6/2021,14835.76
8/5/2021,14895.12
8/4/2021,14780.53
8/3/2021,14761.29
8/2/2021,14681.07
7/30/2021,14672.68
7/29/2021,14778.26
7/28/2021,14762.58
7/27/2021,14660.58
7/26/2021,14840.71
7/23/2021,14836.99
7/22/2021,14684.6
7/21/2021,14631.95
7/20/2021,14498.88
7/19/2021,14274.98
7/16/2021,14427.24
7/15/2021,14543.13
7/14/2021,14644.95
7/13/2021,14677.65
7/12/2021,14733.24
7/9/2021,14701.92
7/8/2021,14559.79
7/7/2021,14665.06
7/6/2021,14663.64
7/2/2021,14639.33
7/1/2021,14522.38
6/30/2021,14503.95
6/29/2021,14528.33
6/28/2021,14500.51
6/25/2021,14360.39
6/24/2021,14369.71
6/23/2021,14271.73
6/22/2021,14253.27
6/21/2021,14141.48
6/18/2021,14030.38
6/17/2021,14161.35
6/16/2021,14039.68
6/15/2021,14072.86
6/14/2021,14174.14
6/11/2021,14069.42
6/10/2021,14020.33
6/9/2021,13911.75
6/8/2021,13924.91
6/7/2021,13881.72
6/4/2021,13814.49
6/3/2021,13614.51
6/2/2021,13756.33
6/1/2021,13736.48
5/28/2021,13748.74
5/27/2021,13736.28
5/26/2021,13738
5/25/2021,13657.17
5/24/2021,13661.17
5/21/2021,13470.99
5/20/2021,13535.74
5/19/2021,13299.74
5/18/2021,13303.64
5/17/2021,13379.05
5/14/2021,13429.98
5/13/2021,13124.99
5/12/2021,13031.68
5/11/2021,13389.43
5/10/2021,13401.86
5/7/2021,13752.24
5/6/2021,13632.84
5/5/2021,13582.42
5/4/2021,13633.5
5/3/2021,13895.12
4/30/2021,13962.68
4/29/2021,14082.55
4/28/2021,14051.03
4/27/2021,14090.22
4/26/2021,14138.78
4/23/2021,14016.81
4/22/2021,13818.41
4/21/2021,13950.22
4/20/2021,13786.27
4/19/2021,13914.77
4/16/2021,14052.34
4/15/2021,14038.76
4/14/2021,13857.84
4/13/2021,13996.1
4/12/2021,13850
4/9/2021,13900.19
4/8/2021,13829.31
4/7/2021,13688.84
4/6/2021,13698.38
4/5/2021,13705.59
4/1/2021,13480.11
3/31/2021,13246.87
3/30/2021,13045.39
3/29/2021,13059.65
3/26/2021,13138.72
3/25/2021,12977.68
3/24/2021,12961.89
3/23/2021,13227.7
3/22/2021,13377.54
3/19/2021,13215.24
3/18/2021,13116.17
3/17/2021,13525.2
3/16/2021,13471.57
3/15/2021,13459.71
3/12/2021,13319.86
3/11/2021,13398.67
3/10/2021,13068.83
3/9/2021,13073.82
3/8/2021,12609.16
3/5/2021,12920.15
3/4/2021,12723.47
3/3/2021,12997.75
3/2/2021,13358.79
3/1/2021,13588.83
2/26/2021,13192.35
2/25/2021,13119.43
2/24/2021,13597.97
2/23/2021,13465.2
2/22/2021,13533.05
2/19/2021,13874.47
2/18/2021,13865.36
2/17/2021,13965.5
2/16/2021,14047.5
2/12/2021,14095.47
2/11/2021,14025.77
2/10/2021,13972.53
2/9/2021,14007.7
2/8/2021,13987.64
2/5/2021,13856.3
2/4/2021,13777.74
2/3/2021,13610.54
2/2/2021,13612.78
2/1/2021,13403.39
1/29/2021,13070.69
1/28/2021,13337.16
1/27/2021,13270.6
1/26/2021,13626.06
1/25/2021,13635.99
1/22/2021,13543.06
1/21/2021,13530.92
1/20/2021,13457.25
1/19/2021,13197.18
1/15/2021,12998.5
1/14/2021,13112.64
1/13/2021,13128.95
1/12/2021,13072.43
1/11/2021,13036.43
1/8/2021,13201.98
1/7/2021,13067.48
1/6/2021,12740.79
1/5/2021,12818.96
1/4/2021,12698.45
12/31/2020,12888.28
12/30/2020,12870
12/29/2020,12850.22
12/28/2020,12899.42
12/24/2020,12804.73
12/23/2020,12771.11
12/22/2020,12807.92
12/21/2020,12742.52
12/18/2020,12755.64
12/17/2020,12764.75
12/16/2020,12658.19
12/15/2020,12595.06
12/14/2020,12440.04
12/11/2020,12377.87
12/10/2020,12405.81
12/9/2020,12338.95
12/8/2020,12582.77
12/7/2020,12519.95
12/4/2020,12464.23
12/3/2020,12377.18
12/2/2020,12349.37
12/1/2020,12355.11
11/30/2020,12198.74
11/27/2020,12205.85
11/25/2020,12094.4
11/24/2020,12036.79
11/23/2020,11880.63
11/20/2020,11854.97
11/19/2020,11904.71
11/18/2020,11801.6
11/17/2020,11899.34
11/16/2020,11924.13
11/13/2020,11829.29
11/12/2020,11709.59
11/11/2020,11786.43
11/10/2020,11553.86
11/9/2020,11713.78
11/6/2020,11895.23
11/5/2020,11890.93
11/4/2020,11590.78
11/3/2020,11160.57
11/2/2020,10957.61
10/30/2020,10911.59
10/29/2020,11185.59
10/28/2020,11004.87
10/27/2020,11431.35
10/26/2020,11358.94
10/23/2020,11548.28
10/22/2020,11506.01
10/21/2020,11484.69
10/20/2020,11516.49
10/19/2020,11478.88
10/16/2020,11671.56
10/15/2020,11713.87
10/14/2020,11768.73
10/13/2020,11863.9
10/12/2020,11876.26
10/9/2020,11579.94
10/8/2020,11420.98
10/7/2020,11364.6
10/6/2020,11154.6
10/5/2020,11332.49
10/2/2020,11075.02
10/1/2020,11326.51
9/30/2020,11167.51
9/29/2020,11085.25
9/28/2020,11117.53
9/25/2020,10913.56
9/24/2020,10672.27
9/23/2020,10632.99
9/22/2020,10963.64
9/21/2020,10778.8
9/18/2020,10793.28
9/17/2020,10910.28
9/16/2020,11050.47
9/15/2020,11190.32
9/14/2020,11056.65
9/11/2020,10853.54
9/10/2020,10919.59
9/9/2020,11141.56
9/8/2020,10847.69
9/4/2020,11313.13
9/3/2020,11458.1
9/2/2020,12056.44
9/1/2020,11939.67
8/31/2020,11775.46
8/28/2020,11695.63
8/27/2020,11625.34
8/26/2020,11665.06
8/25/2020,11466.47
8/24/2020,11379.72
8/21/2020,11311.8
8/20/2020,11264.95
8/19/2020,11146.46
8/18/2020,11210.84
8/17/2020,11129.73
8/14/2020,11019.3
8/13/2020,11042.5
8/12/2020,11012.24
8/11/2020,10782.82
8/10/2020,10968.36
8/7/2020,11010.98
8/6/2020,11108.07
8/5/2020,10998.4
8/4/2020,10941.17
8/3/2020,10902.8
7/31/2020,10745.27
7/30/2020,10587.81
7/29/2020,10542.94
7/28/2020,10402.09
7/27/2020,10536.27
7/24/2020,10363.18
7/23/2020,10461.42
7/22/2020,10706.13
7/21/2020,10680.36
7/20/2020,10767.09
7/17/2020,10503.19
7/16/2020,10473.83
7/15/2020,10550.49
7/14/2020,10488.58
7/13/2020,10390.84
7/10/2020,10617.44
7/9/2020,10547.75
7/8/2020,10492.5
7/7/2020,10343.89
7/6/2020,10433.65
7/2/2020,10207.63
7/1/2020,10154.63
6/30/2020,10058.77
6/29/2020,9874.15
6/26/2020,9757.22
6/25/2020,10017
6/24/2020,9909.17
6/23/2020,10131.37
6/22/2020,10056.47
6/19/2020,9946.12
6/18/2020,9943.05
6/17/2020,9910.53
6/16/2020,9895.87
6/15/2020,9726.02
6/12/2020,9588.81
6/11/2020,9492.73
6/10/2020,10020.35
6/9/2020,9953.75
6/8/2020,9924.75
6/5/2020,9814.08
6/4/2020,9615.81
6/3/2020,9682.91
6/2/2020,9608.38
6/1/2020,9552.05
5/29/2020,9489.87
5/28/2020,9368.99
5/27/2020,9412.36
5/26/2020,9340.22
5/22/2020,9324.59
5/21/2020,9284.88
5/20/2020,9375.78
5/19/2020,9185.1
5/18/2020,9234.83
5/15/2020,9014.56
5/14/2020,8943.72
5/13/2020,8863.17
5/12/2020,9002.55
5/11/2020,9192.34
5/8/2020,9121.32
5/7/2020,8979.66
5/6/2020,8854.39
5/5/2020,8809.12
5/4/2020,8710.72
5/1/2020,8604.95
4/30/2020,8889.55
4/29/2020,8914.71
4/28/2020,8607.73
4/27/2020,8730.16
4/24/2020,8634.52
4/23/2020,8494.75
4/22/2020,8495.38
4/21/2020,8263.23
4/20/2020,8560.73
4/17/2020,8650.14
4/16/2020,8532.36
4/15/2020,8393.18
4/14/2020,8515.74
4/13/2020,8192.42
4/9/2020,8153.58
4/8/2020,8090.9
4/7/2020,7887.26
4/6/2020,7913.24
4/3/2020,7373.08
4/2/2020,7487.31
4/1/2020,7360.58
3/31/2020,7700.1
3/30/2020,7774.15
3/27/2020,7502.38
3/26/2020,7797.54
3/25/2020,7384.3
3/24/2020,7417.86
3/23/2020,6860.67
3/20/2020,6879.52
3/19/2020,7150.58
3/18/2020,6989.84
3/17/2020,7334.78
3/16/2020,6904.59
3/13/2020,7874.88
3/12/2020,7201.8
3/11/2020,7952.05
3/10/2020,8344.25
3/9/2020,7950.68
3/6/2020,8575.62
3/5/2020,8738.59
3/4/2020,9018.09
3/3/2020,8684.09
